Category,Exercise,Variation
Squat,Back Squat,"Supinated, Barbell, Single Arm"
Press,Smith Machine Press,"Supinated, Barbell, Elevated Heels"
Squat,Goblet Squat,"Supinated, Narrow, Bodyweight"
Hinge,Hip Thrust,"Pronated, Bodyweight, Feet Elevated"
Isolation,Bicep Curl,"Mixed, Staggered, Bodyweight"
Isolation,Leg Curl,"Supinated, Machine, Elevated Heels"
Isolation,Lateral Raise,"Supinated, Smith Machine, Single Arm"
Squat,Front Squat,"False, Shoulder Width, Smith Machine"
Press,Overhead Press,"Neutral, Barbell, Chains"
Hinge,Back Extension,"Neutral, Machine, Deficit"
Squat,Belt Squat,"Pronated, Staggered, Bodyweight"
Press,Machine Chest Press,"Mixed, Split, Dumbbell"
Hinge,Romanian Deadlift,"Neutral, Dumbbell, Chains"
Squat,Hack Squat,"Supinated, Narrow, Bodyweight"
Isolation,Rear Delt Fly,"Supinated, Smith Machine, Deficit"
Press,Dumbbell Bench Press,"Supinated, Dumbbell, Elevated Heels"
Press,Smith Machine Press,"Supinated, Cable, Elevated Heels"
Hinge,Back Extension,"Neutral, Bodyweight, Single Arm"
Hinge,Hip Thrust,"Supinated, Split, Machine"
Squat,Back Squat,"Neutral, Machine, Bands"
Pull,Lat Pulldown,"Supinated, Split, Barbell"
Isolation,Leg Extension,"Neutral, Wide, Barbell"
Hinge,Deadlift,"Supinated, Split, Bodyweight"
Pull,Cable Row,"Supinated, Shoulder Width, Barbell"
Pull,Chin-Up,"Mixed, Split, Machine"
Hinge,Hip Thrust,"Pronated, Wide, Smith Machine"
Press,Overhead Press,"Mixed, Wide, Cable"
Press,Dip,"Supinated, Cable, Deficit"
Hinge,Stiff-Leg Deadlift,"False, Wide, Dumbbell"
Pull,Lat Pulldown,"Supinated, Shoulder Width, Bodyweight"
Pull,Barbell Row,"Pronated, Narrow, Bodyweight"
Isolation,Lateral Raise,"Neutral, Cable, Chains"
Hinge,Hip Thrust,"Pronated, Narrow, Smith Machine"
Hinge,Deadlift,"Pronated, Wide, Dumbbell"
Isolation,Calf Raise,"Neutral, Bodyweight, Bands"
Squat,Belt Squat,"Pronated, Shoulder Width, Cable"
Squat,Belt Squat,"Supinated, Smith Machine, Bands"
Squat,Back Squat,"Neutral, Shoulder Width, Barbell"
Press,Overhead Press,"Pronated, Cable, Deficit"
Pull,T-Bar Row,"Pronated, Shoulder Width, Cable"
Pull,Lat Pulldown,Standard
Isolation,Tricep Pushdown,"Supinated, Dumbbell, Deficit"
Hinge,Hip Thrust,"Pronated, Machine, Deficit"
Press,Barbell Bench Press,"Supinated, Machine, Deficit"
Isolation,Lateral Raise,"Neutral, Bodyweight, Feet Elevated"
Press,Smith Machine Press,"Mixed, Narrow, Barbell"
Press,Dumbbell Bench Press,"Neutral, Smith Machine, Single Arm"
Squat,Belt Squat,"Pronated, Dumbbell, Bands"
Squat,Safety Bar Squat,"Neutral, Smith Machine, Feet Elevated"
Pull,T-Bar Row,"Pronated, Dumbbell, Bands"
Pull,Pull-Up,"Supinated, Staggered, Bodyweight"
Press,Incline Bench Press,"Pronated, Wide, Cable"
Hinge,Back Extension,"False, Narrow, Smith Machine"
Squat,Back Squat,"Pronated, Barbell, Elevated Heels"
Pull,Pull-Up,"Pronated, Dumbbell, Single Arm"
Press,Overhead Press,"Supinated, Smith Machine, Elevated Heels"
Pull,Chest Supported Row,"Pronated, Bodyweight, Chains"
Squat,Back Squat,"False, Shoulder Width, Dumbbell"
Hinge,Romanian Deadlift,"Supinated, Machine, Single Arm"
Squat,Zercher Squat,"Neutral, Shoulder Width, Machine"
Press,Dumbbell Bench Press,"Neutral, Shoulder Width, Smith Machine"
Hinge,Good Morning,"Supinated, Split, Barbell"
Pull,Cable Row,"False, Shoulder Width, Barbell"
Squat,Belt Squat,"False, Wide, Barbell"
Press,Dip,"Mixed, Wide, Bodyweight"
Squat,Belt Squat,"Pronated, Shoulder Width, Barbell"
Hinge,Stiff-Leg Deadlift,"False, Shoulder Width, Bodyweight"
Squat,Belt Squat,"Neutral, Barbell, Elevated Heels"
Pull,T-Bar Row,"False, Wide, Barbell"
Hinge,Hip Thrust,"Mixed, Split, Bodyweight"
Isolation,Lateral Raise,"Supinated, Smith Machine, Deficit"
Pull,Chest Supported Row,"Neutral, Smith Machine, Deficit"
Press,Barbell Bench Press,"Pronated, Machine, Chains"
Press,Overhead Press,"Neutral, Barbell, Bands"
Pull,Chest Supported Row,"Supinated, Shoulder Width, Cable"
Hinge,Hip Thrust,"False, Split, Barbell"
Hinge,Good Morning,"Supinated, Shoulder Width, Bodyweight"
Isolation,Calf Raise,"Supinated, Wide, Smith Machine"
Squat,Back Squat,"Supinated, Shoulder Width, Smith Machine"
Press,Incline Bench Press,"Mixed, Staggered, Smith Machine"
Hinge,Good Morning,"Neutral, Smith Machine, Elevated Heels"
Press,Dip,"Neutral, Narrow, Cable"
Press,Machine Chest Press,"Mixed, Narrow, Machine"
Isolation,Tricep Pushdown,"Pronated, Staggered, Barbell"
Pull,Chest Supported Row,"Neutral, Machine, Chains"
Pull,Barbell Row,"Supinated, Bodyweight, Deficit"
Hinge,Deadlift,"Neutral, Split, Smith Machine"
Squat,Belt Squat,"Supinated, Barbell, Single Arm"
Hinge,Good Morning,Standard
Isolation,Leg Extension,"False, Wide, Bodyweight"
Hinge,Romanian Deadlift,"Supinated, Bodyweight, Elevated Heels"
Isolation,Bicep Curl,"Pronated, Bodyweight, Deficit"
Press,Dumbbell Bench Press,"Supinated, Staggered, Barbell"
Press,Machine Chest Press,"Neutral, Staggered, Barbell"
Hinge,Back Extension,"Mixed, Wide, Dumbbell"
Isolation,Rear Delt Fly,"Supinated, Dumbbell, Bands"
Hinge,Stiff-Leg Deadlift,"Pronated, Smith Machine, Chains"
Pull,Chin-Up,"Pronated, Staggered, Barbell"
Squat,Belt Squat,"Neutral, Wide, Machine"
Isolation,Leg Extension,"Supinated, Barbell, Bands"
Pull,T-Bar Row,"Neutral, Wide, Machine"
Squat,Zercher Squat,"Pronated, Bodyweight, Deficit"
Pull,Barbell Row,"Neutral, Bodyweight, Elevated Heels"
Pull,Pull-Up,"Supinated, Dumbbell, Feet Elevated"
Isolation,Leg Curl,"False, Staggered, Machine"
Isolation,Calf Raise,"Supinated, Cable, Single Arm"
Squat,Belt Squat,"Neutral, Machine, Bands"
Hinge,Stiff-Leg Deadlift,"Mixed, Shoulder Width, Bodyweight"
Hinge,Hip Thrust,"Pronated, Cable, Single Arm"
Hinge,Back Extension,"Mixed, Shoulder Width, Machine"
Squat,Back Squat,"Mixed, Wide, Cable"
Press,Machine Chest Press,"Pronated, Barbell, Single Arm"
Hinge,Hip Thrust,"Neutral, Smith Machine, Feet Elevated"
Press,Overhead Press,"False, Wide, Smith Machine"
Hinge,Romanian Deadlift,"Pronated, Cable, Elevated Heels"
Pull,Pull-Up,"Mixed, Narrow, Cable"
Press,Overhead Press,"False, Shoulder Width, Machine"
Pull,Pull-Up,"Pronated, Dumbbell, Elevated Heels"
Hinge,Back Extension,"False, Split, Dumbbell"
Press,Smith Machine Press,"Neutral, Barbell, Feet Elevated"
Hinge,Hip Thrust,"Supinated, Cable, Feet Elevated"
Isolation,Leg Extension,"Neutral, Dumbbell, Feet Elevated"
Hinge,Back Extension,"Supinated, Dumbbell, Chains"
Hinge,Romanian Deadlift,"Mixed, Split, Machine"
Press,Barbell Bench Press,"Neutral, Dumbbell, Single Arm"
Press,Decline Bench Press,"False, Split, Machine"
Pull,Pull-Up,"Pronated, Bodyweight, Feet Elevated"
Pull,Barbell Row,"Pronated, Smith Machine, Single Arm"
Isolation,Leg Curl,"Neutral, Dumbbell, Bands"
Hinge,Back Extension,"Neutral, Machine, Single Arm"
Squat,Safety Bar Squat,"Neutral, Dumbbell, Deficit"
Pull,Chest Supported Row,"Pronated, Cable, Deficit"
Press,Incline Bench Press,"Pronated, Smith Machine, Elevated Heels"
Pull,T-Bar Row,"Pronated, Bodyweight, Chains"
Squat,Back Squat,"Supinated, Smith Machine, Elevated Heels"
Pull,Barbell Row,"Pronated, Split, Smith Machine"
Hinge,Back Extension,"False, Split, Cable"
Isolation,Leg Curl,"Neutral, Machine, Deficit"
Pull,Lat Pulldown,"Pronated, Dumbbell, Bands"
Squat,Belt Squat,"Pronated, Barbell, Elevated Heels"
Squat,Goblet Squat,"Supinated, Split, Dumbbell"
Squat,Front Squat,"Mixed, Staggered, Cable"
Press,Barbell Bench Press,"False, Shoulder Width, Barbell"
Isolation,Tricep Pushdown,"Pronated, Cable, Bands"
Squat,Back Squat,"Neutral, Staggered, Bodyweight"
Pull,Pull-Up,"Supinated, Split, Machine"
Squat,Belt Squat,"Supinated, Shoulder Width, Cable"
Isolation,Lateral Raise,"Supinated, Dumbbell, Bands"
Isolation,Leg Curl,"Neutral, Bodyweight, Single Arm"
Pull,T-Bar Row,"Neutral, Smith Machine, Deficit"
Hinge,Stiff-Leg Deadlift,"False, Staggered, Bodyweight"
Squat,Hack Squat,"Mixed, Shoulder Width, Cable"
Press,Decline Bench Press,"False, Shoulder Width, Smith Machine"
Pull,T-Bar Row,"Supinated, Shoulder Width, Cable"
Hinge,Stiff-Leg Deadlift,"Supinated, Bodyweight, Elevated Heels"
Pull,Barbell Row,"Neutral, Smith Machine, Chains"
Pull,Cable Row,"Supinated, Wide, Machine"
Isolation,Rear Delt Fly,"Pronated, Split, Bodyweight"
Pull,Chin-Up,"Mixed, Wide, Machine"
Isolation,Calf Raise,"Neutral, Dumbbell, Chains"
Press,Dumbbell Bench Press,"Neutral, Narrow, Dumbbell"
Pull,Barbell Row,"False, Narrow, Dumbbell"
Squat,Hack Squat,"Supinated, Split, Dumbbell"
Pull,Pull-Up,"Pronated, Wide, Smith Machine"
Pull,T-Bar Row,"Neutral, Machine, Chains"
Hinge,Romanian Deadlift,"Pronated, Shoulder Width, Machine"
Press,Machine Chest Press,"Supinated, Narrow, Dumbbell"
Hinge,Back Extension,"Pronated, Bodyweight, Single Arm"
Hinge,Deadlift,"Pronated, Staggered, Machine"
Squat,Belt Squat,"Supinated, Shoulder Width, Smith Machine"
Hinge,Romanian Deadlift,"Supinated, Dumbbell, Single Arm"
Squat,Safety Bar Squat,"Supinated, Cable, Deficit"
Hinge,Hip Thrust,"Neutral, Machine, Elevated Heels"
Pull,Pull-Up,"Pronated, Narrow, Smith Machine"
Pull,Chest Supported Row,"Neutral, Barbell, Bands"
Press,Dumbbell Bench Press,"Supinated, Smith Machine, Single Arm"
Pull,Cable Row,"Neutral, Wide, Bodyweight"
Isolation,Rear Delt Fly,"Supinated, Cable, Bands"
Isolation,Tricep Pushdown,"Supinated, Dumbbell, Elevated Heels"
Squat,Belt Squat,"Neutral, Barbell, Chains"
Pull,Pull-Up,"Pronated, Machine, Deficit"
Hinge,Good Morning,"Pronated, Shoulder Width, Cable"
Pull,T-Bar Row,"Neutral, Barbell, Chains"
Press,Machine Chest Press,"Supinated, Machine, Feet Elevated"
Squat,Front Squat,"Pronated, Bodyweight, Elevated Heels"
Hinge,Back Extension,"Mixed, Split, Cable"
Hinge,Good Morning,"Pronated, Dumbbell, Bands"
Isolation,Leg Extension,"Supinated, Staggered, Bodyweight"
Hinge,Deadlift,"Neutral, Narrow, Bodyweight"
Isolation,Leg Curl,"False, Narrow, Smith Machine"
Pull,Cable Row,"Pronated, Smith Machine, Feet Elevated"
Hinge,Deadlift,"Pronated, Narrow, Cable"
Pull,Chin-Up,"False, Split, Bodyweight"
Hinge,Stiff-Leg Deadlift,"Mixed, Split, Machine"
Squat,Belt Squat,"Mixed, Wide, Cable"
Pull,Cable Row,"Neutral, Cable, Elevated Heels"
Press,Incline Bench Press,"Pronated, Narrow, Dumbbell"
Pull,Pull-Up,"Mixed, Split, Bodyweight"
Hinge,Good Morning,"False, Wide, Barbell"
Isolation,Bicep Curl,"Pronated, Wide, Cable"
Hinge,Back Extension,"Pronated, Wide, Bodyweight"
Isolation,Tricep Pushdown,"Neutral, Smith Machine, Single Arm"
Pull,Pull-Up,"False, Split, Barbell"
Press,Dumbbell Bench Press,"Neutral, Bodyweight, Feet Elevated"
Press,Overhead Press,"Neutral, Shoulder Width, Machine"
Pull,Chest Supported Row,"False, Shoulder Width, Machine"
Squat,Belt Squat,"Pronated, Cable, Deficit"
Isolation,Rear Delt Fly,"Supinated, Wide, Cable"
Squat,Back Squat,"Supinated, Dumbbell, Deficit"
Hinge,Romanian Deadlift,"Pronated, Narrow, Bodyweight"
Press,Overhead Press,"Supinated, Cable, Chains"
Isolation,Lateral Raise,"Pronated, Split, Bodyweight"
Isolation,Calf Raise,"Mixed, Shoulder Width, Smith Machine"
Press,Dip,"False, Split, Machine"
Pull,T-Bar Row,"Pronated, Cable, Deficit"
Isolation,Rear Delt Fly,"Supinated, Shoulder Width, Machine"
Isolation,Tricep Pushdown,"Neutral, Shoulder Width, Smith Machine"
Hinge,Deadlift,"Pronated, Staggered, Dumbbell"
Hinge,Deadlift,"Supinated, Wide, Barbell"
Isolation,Calf Raise,"Mixed, Wide, Barbell"
Isolation,Leg Curl,"Mixed, Wide, Dumbbell"
Hinge,Hip Thrust,"Supinated, Cable, Deficit"
Squat,Belt Squat,"Supinated, Smith Machine, Elevated Heels"
Isolation,Bicep Curl,"Mixed, Staggered, Smith Machine"
Hinge,Stiff-Leg Deadlift,"Pronated, Shoulder Width, Machine"
Pull,Lat Pulldown,"Pronated, Bodyweight, Chains"
Isolation,Lateral Raise,"Supinated, Cable, Bands"
Press,Smith Machine Press,"Neutral, Bodyweight, Chains"
Hinge,Stiff-Leg Deadlift,"Supinated, Dumbbell, Single Arm"
Hinge,Good Morning,"Neutral, Wide, Machine"
Press,Decline Bench Press,"Pronated, Smith Machine, Elevated Heels"
Hinge,Back Extension,"Pronated, Shoulder Width, Smith Machine"
Pull,Chin-Up,"False, Narrow, Dumbbell"
Press,Dip,"False, Shoulder Width, Smith Machine"
Isolation,Rear Delt Fly,"Neutral, Shoulder Width, Cable"
Isolation,Leg Extension,"Supinated, Dumbbell, Feet Elevated"
Pull,Lat Pulldown,"Neutral, Smith Machine, Deficit"
Squat,Belt Squat,"Neutral, Barbell, Bands"
Pull,Pull-Up,"Pronated, Cable, Single Arm"
Press,Incline Bench Press,"Pronated, Machine, Elevated Heels"
Pull,Cable Row,"Supinated, Narrow, Barbell"
Pull,Pull-Up,"Neutral, Smith Machine, Feet Elevated"
Isolation,Rear Delt Fly,"Neutral, Narrow, Smith Machine"
Pull,Lat Pulldown,"Supinated, Shoulder Width, Cable"
Isolation,Leg Curl,"Mixed, Shoulder Width, Machine"
Squat,Goblet Squat,"Neutral, Smith Machine, Bands"
Press,Barbell Bench Press,"False, Staggered, Smith Machine"
Pull,T-Bar Row,"Neutral, Barbell, Bands"
Press,Smith Machine Press,"Pronated, Wide, Machine"
Press,Machine Chest Press,"Pronated, Wide, Dumbbell"
Hinge,Deadlift,"Neutral, Split, Machine"
Isolation,Tricep Pushdown,"Supinated, Staggered, Barbell"
Squat,Back Squat,"Pronated, Staggered, Barbell"
Isolation,Leg Extension,"Mixed, Narrow, Cable"
Isolation,Leg Extension,"Pronated, Dumbbell, Elevated Heels"
Pull,Lat Pulldown,"Neutral, Machine, Chains"
Pull,Pull-Up,"Supinated, Cable, Feet Elevated"
Isolation,Rear Delt Fly,"False, Staggered, Cable"
Press,Overhead Press,"Neutral, Cable, Bands"
Isolation,Leg Curl,"False, Split, Dumbbell"
Pull,Cable Row,"Supinated, Machine, Chains"
Press,Smith Machine Press,"False, Staggered, Dumbbell"
Hinge,Hip Thrust,"Mixed, Wide, Bodyweight"
Isolation,Leg Curl,"Supinated, Dumbbell, Chains"
Hinge,Romanian Deadlift,"Supinated, Bodyweight, Deficit"
Press,Incline Bench Press,"Pronated, Barbell, Chains"
Pull,Chin-Up,"Supinated, Staggered, Barbell"
Isolation,Leg Extension,"Pronated, Bodyweight, Feet Elevated"
Isolation,Lateral Raise,"Supinated, Wide, Cable"
Press,Incline Bench Press,"Pronated, Dumbbell, Feet Elevated"
Press,Smith Machine Press,"Supinated, Staggered, Dumbbell"
Isolation,Leg Curl,"Neutral, Machine, Single Arm"
Press,Smith Machine Press,"Supinated, Machine, Elevated Heels"
Isolation,Lateral Raise,"Supinated, Shoulder Width, Machine"
Hinge,Good Morning,"Pronated, Bodyweight, Chains"
Hinge,Hip Thrust,"Neutral, Narrow, Cable"
Squat,Zercher Squat,"Supinated, Barbell, Elevated Heels"
Isolation,Leg Curl,"False, Split, Cable"
Hinge,Stiff-Leg Deadlift,"Pronated, Narrow, Bodyweight"
Pull,Barbell Row,"Pronated, Barbell, Feet Elevated"
Squat,Belt Squat,"False, Wide, Smith Machine"
Hinge,Romanian Deadlift,"Neutral, Bodyweight, Elevated Heels"
Hinge,Good Morning,"Neutral, Smith Machine, Deficit"
Isolation,Leg Extension,"Supinated, Split, Machine"
Press,Incline Bench Press,"Supinated, Narrow, Cable"
Squat,Belt Squat,"False, Shoulder Width, Machine"
Hinge,Deadlift,"Supinated, Machine, Deficit"
Hinge,Good Morning,"Supinated, Shoulder Width, Cable"
Press,Smith Machine Press,"Mixed, Narrow, Bodyweight"
Pull,T-Bar Row,"False, Wide, Smith Machine"
Pull,T-Bar Row,"False, Shoulder Width, Machine"
Squat,Zercher Squat,"Supinated, Cable, Elevated Heels"
Squat,Back Squat,"Supinated, Cable, Chains"
Isolation,Lateral Raise,"Neutral, Shoulder Width, Cable"
Press,Decline Bench Press,"Mixed, Staggered, Cable"
Press,Machine Chest Press,"Neutral, Split, Smith Machine"
Isolation,Leg Extension,"Pronated, Wide, Smith Machine"
Isolation,Leg Curl,"Pronated, Bodyweight, Single Arm"
Isolation,Leg Extension,"Pronated, Narrow, Smith Machine"
Pull,Barbell Row,"False, Narrow, Bodyweight"
Pull,Chest Supported Row,"Neutral, Shoulder Width, Machine"
Press,Barbell Bench Press,"Neutral, Barbell, Single Arm"
Pull,Lat Pulldown,"Pronated, Cable, Deficit"
Pull,Cable Row,"Supinated, Staggered, Smith Machine"
Squat,Safety Bar Squat,"Neutral, Wide, Bodyweight"
Hinge,Romanian Deadlift,"Pronated, Smith Machine, Single Arm"
Squat,Goblet Squat,"Supinated, Bodyweight, Chains"
Press,Barbell Bench Press,"False, Staggered, Barbell"
Pull,Cable Row,"Pronated, Barbell, Deficit"
Isolation,Lateral Raise,"False, Staggered, Cable"
Hinge,Good Morning,"Neutral, Barbell, Chains"
Isolation,Leg Extension,"Pronated, Machine, Deficit"
Press,Incline Bench Press,"Neutral, Split, Barbell"
Press,Dip,"Pronated, Smith Machine, Elevated Heels"
Squat,Back Squat,"Pronated, Cable, Bands"
Hinge,Romanian Deadlift,"Pronated, Split, Smith Machine"
Isolation,Lateral Raise,"Supinated, Bodyweight, Single Arm"
Isolation,Tricep Pushdown,"Neutral, Narrow, Dumbbell"
Isolation,Leg Curl,"Mixed, Split, Cable"
Hinge,Stiff-Leg Deadlift,"Mixed, Wide, Machine"
Isolation,Tricep Pushdown,"Supinated, Smith Machine, Single Arm"
Press,Decline Bench Press,"Pronated, Bodyweight, Elevated Heels"
Hinge,Romanian Deadlift,"Neutral, Smith Machine, Chains"
Squat,Safety Bar Squat,"Pronated, Smith Machine, Feet Elevated"
Press,Smith Machine Press,"Supinated, Split, Cable"
Squat,Back Squat,"Neutral, Cable, Bands"
Isolation,Leg Extension,"Mixed, Split, Bodyweight"
Hinge,Romanian Deadlift,"False, Narrow, Dumbbell"
Isolation,Calf Raise,"Pronated, Smith Machine, Bands"
Squat,Goblet Squat,"Pronated, Machine, Chains"
Press,Barbell Bench Press,"Supinated, Machine, Chains"
Isolation,Leg Curl,"Pronated, Wide, Bodyweight"
Pull,Chest Supported Row,"Pronated, Bodyweight, Deficit"
Pull,Chin-Up,"Supinated, Smith Machine, Single Arm"
Squat,Back Squat,"Supinated, Dumbbell, Elevated Heels"
Squat,Safety Bar Squat,"False, Split, Machine"
Hinge,Good Morning,"Pronated, Cable, Deficit"
Pull,Lat Pulldown,"Supinated, Smith Machine, Feet Elevated"
Squat,Hack Squat,"Neutral, Dumbbell, Deficit"
Press,Barbell Bench Press,"Neutral, Staggered, Cable"
Pull,Pull-Up,"Supinated, Cable, Deficit"
Hinge,Deadlift,"Pronated, Shoulder Width, Bodyweight"
Hinge,Stiff-Leg Deadlift,"False, Split, Bodyweight"
Squat,Front Squat,"False, Narrow, Machine"
Press,Barbell Bench Press,"Neutral, Bodyweight, Deficit"
Press,Decline Bench Press,"Pronated, Dumbbell, Feet Elevated"
Press,Incline Bench Press,"Pronated, Split, Dumbbell"
Isolation,Tricep Pushdown,"Neutral, Bodyweight, Feet Elevated"
Press,Incline Bench Press,"Pronated, Smith Machine, Deficit"
Isolation,Rear Delt Fly,"Neutral, Split, Dumbbell"
Isolation,Leg Curl,"Pronated, Shoulder Width, Smith Machine"
Hinge,Deadlift,"Neutral, Dumbbell, Single Arm"
Squat,Front Squat,"Neutral, Bodyweight, Bands"
Squat,Goblet Squat,"Supinated, Shoulder Width, Barbell"
Pull,Chin-Up,"Neutral, Cable, Chains"
Press,Smith Machine Press,"False, Staggered, Machine"
Hinge,Back Extension,"Pronated, Machine, Feet Elevated"
Squat,Back Squat,"Neutral, Smith Machine, Single Arm"
Isolation,Leg Extension,"Pronated, Cable, Single Arm"
Squat,Belt Squat,"Neutral, Shoulder Width, Machine"
Press,Dip,"Mixed, Staggered, Cable"
Press,Dip,"Pronated, Narrow, Dumbbell"
Isolation,Leg Extension,"Neutral, Smith Machine, Feet Elevated"
Hinge,Good Morning,"Neutral, Barbell, Bands"
Press,Decline Bench Press,"Supinated, Narrow, Cable"
Squat,Belt Squat,"Supinated, Cable, Chains"
Pull,Lat Pulldown,"False, Shoulder Width, Machine"
Pull,T-Bar Row,"Neutral, Shoulder Width, Machine"
Pull,Chin-Up,"Neutral, Bodyweight, Feet Elevated"
Squat,Hack Squat,"Supinated, Shoulder Width, Barbell"
Isolation,Leg Extension,"Supinated, Cable, Feet Elevated"
Isolation,Bicep Curl,"Pronated, Machine, Elevated Heels"
Press,Barbell Bench Press,"Pronated, Barbell, Deficit"
Pull,Pull-Up,"Mixed, Wide, Bodyweight"
Squat,Back Squat,"Neutral, Shoulder Width, Smith Machine"
Isolation,Rear Delt Fly,"Pronated, Split, Machine"
Press,Barbell Bench Press,"False, Narrow, Cable"
Squat,Zercher Squat,"Neutral, Barbell, Feet Elevated"
Press,Machine Chest Press,"Neutral, Narrow, Bodyweight"
Isolation,Rear Delt Fly,"Pronated, Split, Cable"
Hinge,Back Extension,"Neutral, Split, Bodyweight"
Hinge,Stiff-Leg Deadlift,"False, Narrow, Dumbbell"
Press,Machine Chest Press,"Pronated, Narrow, Cable"
Press,Barbell Bench Press,"Neutral, Machine, Feet Elevated"
Pull,Pull-Up,"Neutral, Narrow, Cable"
Pull,Chin-Up,"Supinated, Smith Machine, Deficit"
Hinge,Hip Thrust,"False, Split, Machine"
Press,Incline Bench Press,"Pronated, Barbell, Bands"
Press,Smith Machine Press,"Neutral, Machine, Deficit"
Pull,Barbell Row,"Supinated, Dumbbell, Bands"
Squat,Goblet Squat,"False, Shoulder Width, Barbell"
